x,f(x),f'(x)
-0.54,0.368188,0.232626
-0.53,0.370517,0.233234
-0.52,0.372852,0.233834
-0.51,0.375194,0.234424
-0.5,0.377541,0.235004
-0.49,0.379894,0.235575
-0.48,0.382252,0.236136
-0.47,0.384616,0.236687
-0.46,0.386986,0.237228
-0.45,0.389361,0.237759
-0.44,0.391741,0.23828
-0.43,0.394126,0.238791
-0.42,0.396517,0.239291
-0.41,0.398912,0.239781
-0.4,0.401312,0.240261
-0.39,0.403717,0.24073
-0.38,0.406127,0.241188
-0.37,0.408541,0.241635
-0.36,0.41096,0.242072
-0.35,0.413382,0.242498
-0.34,0.415809,0.242912
-0.33,0.418241,0.243316
-0.32,0.420676,0.243708
-0.31,0.423115,0.244089
-0.3,0.425557,0.244458
-0.29,0.428004,0.244817
-0.28,0.430454,0.245163
-0.27,0.432907,0.245499
-0.26,0.435364,0.245822
-0.25,0.437823,0.246134
-0.24,0.440286,0.246434
-0.23,0.442752,0.246723
-0.22,0.445221,0.246999
-0.21,0.447692,0.247264
-0.2,0.450166,0.247517
-0.19,0.452642,0.247757
-0.18,0.455121,0.247986
-0.17,0.457602,0.248203
-0.16,0.460085,0.248407
-0.15,0.46257,0.248599
-0.14,0.465057,0.248779
-0.13,0.467546,0.248947
-0.12,0.470036,0.249102
-0.11,0.472528,0.249245
-0.1,0.475021,0.249376
-0.09,0.477515,0.249494
-0.08,0.480011,0.2496
-0.07,0.482507,0.249694
-0.06,0.485004,0.249775
-0.05,0.487503,0.249844
-0.04,0.490001,0.2499
-0.03,0.492501,0.249944
-0.02,0.495,0.249975
-0.01,0.4975,0.249994
-6.23078e-14,0.5,0.25
0.01,0.5025,0.249994
0.02,0.505,0.249975
0.03,0.507499,0.249944
0.04,0.509999,0.2499
0.05,0.512497,0.249844
0.06,0.514996,0.249775
0.07,0.517493,0.249694
0.08,0.519989,0.2496
0.09,0.522485,0.249494
0.1,0.524979,0.249376
0.11,0.527472,0.249245
0.12,0.529964,0.249102
0.13,0.532454,0.248947
0.14,0.534943,0.248779
0.15,0.53743,0.248599
0.16,0.539915,0.248407
0.17,0.542398,0.248202
0.18,0.544879,0.247986
0.19,0.547358,0.247757
0.2,0.549834,0.247516
0.21,0.552308,0.247264
0.22,0.554779,0.246999
0.23,0.557248,0.246723
0.24,0.559714,0.246434
0.25,0.562177,0.246134
0.26,0.564636,0.245822
0.27,0.567093,0.245498
0.28,0.569546,0.245163
0.29,0.571996,0.244816
0.3,0.574443,0.244458
0.31,0.576885,0.244088
0.32,0.579324,0.243707
0.33,0.581759,0.243315
0.34,0.584191,0.242912
0.35,0.586618,0.242497
0.36,0.58904,0.242072
0.37,0.591459,0.241635
0.38,0.593873,0.241188
0.39,0.596283,0.240729
0.4,0.598688,0.240261
0.41,0.601088,0.239781
0.42,0.603483,0.239291
0.43,0.605874,0.238791
0.44,0.608259,0.23828
0.45,0.610639,0.237759
0.46,0.613014,0.237228
0.47,0.615384,0.236686
0.48,0.617748,0.236135
0.49,0.620106,0.235574
0.5,0.622459,0.235003
0.51,0.624806,0.234423
0.52,0.627148,0.233833
0.53,0.629483,0.233234
